tr,event,ts_lt
1,MZP_ETA,2026-01-27 17:38
1,MZP_ALL_FAST,2026-01-27 17:38
1,MZP_ETD,2026-01-31 20:36
1,AGI_ALL_FAST,2026-02-04 16:06
1,LOADIN_DONE,2026-02-08 14:38
1,AGI_CAST_OFF,2026-02-08 14:38
1,NEXT_MZP_ALL_FAST,2026-02-09 21:18
2,MZP_ETA,2026-02-09 21:18
2,MZP_ALL_FAST,2026-02-09 21:18
2,MZP_ETD,2026-02-12 15:00
2,NEXT_MZP_ALL_FAST,2026-02-17 14:24
3,MZP_ETA_PBP,2026-02-17 12:30
3,MZP_ETA,2026-02-17 12:30
3,MZP_ALL_FAST,2026-02-17 14:24
3,MZP_ETD,2026-02-19 03:00
3,NEXT_MZP_ALL_FAST,2026-02-26 03:00
